Name,Team,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,PlayerId
"William Cuevas 쿠에바스","Wiz (KBO)",29,158,6.265822784810126,2.6202531645569622,2.39130435,0.9113924050632911,0.16467066,0.06886228,0.09580838,0.24796085,1.2531645569620253,0.27926078,0.687974,4.10126582278481,4.4841612960718855,-0.38289547328707574,"13331"
"Adrian Sampson 샘슨","Giants (KBO)",28,130,6.023076923076923,2.4923076923076923,2.41666667,0.9692307692307692,0.14745763,0.06101695,0.08644068,0.30474453,1.5615384615384615,0.34228188,0.64413939,5.4,4.5465760964613695,0.8534239035386308,"13339"
"Chris Flexen 플렉센","Bears (KBO)",25,116.2,10.182857364825818,2.3142857647331403,4.4,0.4628571529466281,0.27966102,0.06355932,0.2161017,0.22045455,1.088571452300403,0.3013245,0.71310116,3.008571494153083,2.7443782774477588,0.26419321670532403,"13896"
"Ben Lively 라이블리","Lions (KBO)",28,112,7.633928571428571,3.1339285714285716,2.43589744,0.8839285714285714,0.19874477,0.08158996,0.11715481,0.2295082,1.2232142857142858,0.27102804,0.71107784,4.258928571428571,4.46223543712071,-0.20330686569213885,"14932"
"Odrisamer Despaigne 데스파이네","Wiz (KBO)",33,207.2,6.58748025848145,2.9470306419522276,2.23529412,0.7800963463991191,0.16777042,0.07505519,0.09271523,0.28072289,1.449438273247746,0.32575758,0.71881607,4.333868591106217,4.276641573908564,0.05722701719765322,"16017"
"Ricardo Pinto 핀토","Wyverns (KBO)",26,162,6.222222222222222,5,1.24444444,1.0555555555555556,0.1462141,0.11749347,0.02872063,0.29774436,1.7777777777777777,0.33520599,0.65345081,6.166666666666667,5.528152544704485,0.6385141219621824,"16318"
"Seunghwan Oh 오승환","Lions (KBO)",37,47.2,7.363637345805848,2.8321682099253263,2.6,0.3776224279900435,0.19402985,0.07462687,0.11940298,0.23913043,1.2377624028562537,0.29370629,0.80756014,2.6433569959303043,3.494827841914914,-0.8514708459846099,"18719"
"Hyeon-Jong Yang 양현종","Tigers (KBO)",32,172.1,7.781431564284763,3.342359866538422,2.328125,0.678916847890617,0.1997319,0.08579088,0.11394102,0.26587888,1.415860776797526,0.32427184,0.64991334,4.700193562319656,3.9684180976192165,0.7317754647004397,"27513"
"Jake Brigham 브리검","Heroes (KBO)",32,107,8.83177570093458,3.532710280373832,2.5,0.5046728971962616,0.23026316,0.09210526,0.1381579,0.2396088,1.308411214953271,0.30872483,0.73206442,3.616822429906542,3.5999190152248493,0.016903414681692652,"2851"
"Casey Kelly 켈리","Twins (KBO)",30,173.1,6.95769251185762,2.0769231378679462,3.35,0.8307692551471785,0.19007092,0.05673759,0.13333333,0.24464832,1.1538461877044146,0.28571429,0.76352068,3.323077020588714,4.052345342974691,-0.7292683223859773,"9174"
